sym	name	type	EnsemblID	EntrezGeneID	OMIMID	RefSeqID	UniProtID	UCSCID	start	end	strand	GO_C	GO_F	GO_P	HPAclass	HPAlocation	HPAprognostic	HPAcancerCat	HPAtissueCat	HPAspecificExpr	HPAnonSpecificExpr
CFAP61	cilia and flagella associated protein 61	protein	ENSG00000089101	26074	NA	NM_001167816	Q8NHU2	NA	20052514	20360702	1	GO:0005929	NA	GO:0008150	Predicted intracellular proteins, Predicted membrane proteins	NA	NA	Mixed	Group enriched	fallopian tube: 20.3;heart muscle: 8.5;testis: 29.5	skeletal muscle: 3.3
CHD6	chromodomain helicase DNA binding protein 6	protein	ENSG00000124177	84181	616114	NM_032221	Q8TD26	uc002xka.3	41402101	41618494	-1	GO:0005654	GO:0004386	GO:0044403	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Nucleus	Lung cancer:3.42e-4 (favourable)	Expressed in all	Expressed in all	NA	parathyroid gland: 31.5
CHGB	chromogranin B	protein	ENSG00000089199	1114	118920	NM_001819	P05060	uc002wmg.4	5911430	5925361	1	GO:0031410	GO:0003674	GO:0006464	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Vesicles	Head and neck cancer:1.89e-4 (unfavourable), Pancreatic cancer:9.96e-4 (favourable)	Tissue enriched	Tissue enriched	adrenal gland: 4382.4	cerebral cortex: 168.3
CHMP4B	charged multivesicular body protein 4B	protein	ENSG00000101421	128866	610897	NM_176812	Q9H444	uc002xaa.4	33811304	33854366	1	GO:0005635	GO:0003674	GO:0007034	Disease related genes, Predicted intracellular proteins	NA	Liver cancer:5.10e-4 (unfavourable)	Expressed in all	Expressed in all	NA	cerebral cortex: 140.4
CHRNA4	cholinergic receptor nicotinic alpha 4 subunit	protein	ENSG00000101204	1137	118504	NM_000744	P43681	uc002yes.4	63343223	63378401	-1	GO:0005886	GO:0022857	GO:0007267	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters	NA	NA	Tissue enhanced	Tissue enhanced	cerebral cortex: 6.9;parathyroid gland: 17.4	liver: 3.9
CNBD2	cyclic nucleotide binding domain containing 2	protein	ENSG00000149646	140894	NA	NM_001207076	Q96M20	uc002xer.1	35954564	36030700	1	GO:0005829	GO:0043167	GO:0008150	Predicted intracellular proteins	NA	NA	Not detected	Tissue enhanced	testis: 38.0	epididymis: 15.3
COL9A3	collagen type IX alpha 3 chain	protein	ENSG00000092758	1299	120270	NM_001853	Q14050	uc002ydm.3	62816244	62841159	1	GO:0005578	GO:0005198	GO:0030198	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Nucleoplasm<br>Intermediate filaments	NA	Mixed	Group enriched	cerebral cortex: 7.5;salivary gland: 10.5;testis: 6.3;thyroid gland: 19.1	seminal vesicle: 1.8
COL20A1	collagen type XX alpha 1 chain	protein	ENSG00000101203	57642	NA	NM_020882	Q9P218	uc011aau.2	63293186	63334851	1	GO:0005615	NA	NA	Predicted intracellular proteins, Predicted secreted proteins	NA	NA	Tissue enriched	Tissue enriched	cerebral cortex: 16.2	testis: 2.3
COMMD7	COMM domain containing 7	protein	ENSG00000149600	149951	616703	NM_001099339	Q86VX2	uc002wya.5	32702691	32743997	-1	GO:0031410	GO:0008134	GO:0009058	Predicted intracellular proteins	Vesicles	Liver cancer:1.46e-4 (unfavourable), Urothelial cancer:3.53e-4 (favourable)	Expressed in all	Expressed in all	NA	thyroid gland: 80.3
COX4I2	cytochrome c oxidase subunit 4I2	protein	ENSG00000131055	84701	607976	NM_032609	Q96KJ9	uc002wwj.2	31637888	31645006	1	GO:0032991	GO:0016491	GO:0006091	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	NA	Head and neck cancer:6.04e-5 (favourable), Renal cancer:9.78e-4 (unfavourable)	Expressed in all	Group enriched	lung: 42.8;placenta: 157.5	thyroid gland: 19.3
CPNE1	copine 1	protein	ENSG00000214078	8904	604205	NM_001198863	Q99829	uc002xdf.4	35626031	35664956	-1	GO:0005654	GO:0008134	GO:0040007	Plasma proteins, Predicted intracellular proteins	Nucleoplasm<br>Nuclear membrane	Renal cancer:2.74e-10 (unfavourable)	Expressed in all	Expressed in all	NA	smooth muscle: 104.0
CPXM1	carboxypeptidase X, M14 family member 1	protein	ENSG00000088882	56265	609555	NM_001184699	Q96SM3	uc002wgu.4	2794069	2800637	-1	GO:0005615	GO:0008233	GO:0051604	Enzymes, Predicted secreted proteins	NA	Renal cancer:4.62e-10 (unfavourable)	Expressed in all	Tissue enhanced	endometrium: 130.4;gallbladder: 132.2	urinary bladder: 75.0
CRLS1	cardiolipin synthase 1	protein	ENSG00000088766	54675	608188	NM_001127458	Q9UJA2	uc002wmn.5	6006090	6040053	1	GO:0005739	GO:0016746	GO:0006629	Enzymes, Predicted membrane proteins	NA	Urothelial cancer:8.02e-4 (favourable)	Expressed in all	Expressed in all	NA	liver: 87.0
CRNKL1	crooked neck pre-mRNA splicing factor 1	protein	ENSG00000101343	51340	610952	NM_001278625	Q9BZJ0	uc061vse.1	20034368	20056046	-1	GO:0005654	GO:0003723	GO:0022618	Plasma proteins, Predicted intracellular proteins	NA	Liver cancer:8.06e-6 (unfavourable)	Expressed in all	Expressed in all	NA	parathyroid gland: 24.1
CSE1L	chromosome segregation 1 like	protein	ENSG00000124207	1434	601342	NM_001256135	P55060	uc002xty.5	49046246	49096960	1	GO:0005635	GO:0019899	GO:0006913	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters	Nucleoplasm<br>Cytosol	Liver cancer:2.42e-8 (unfavourable), Endometrial cancer:2.91e-5 (unfavourable), Renal cancer:1.89e-4 (unfavourable), Urothelial cancer:6.91e-4 (unfavourable)	Expressed in all	Expressed in all	NA	testis: 159.7
CSNK2A1	casein kinase 2 alpha 1	protein	ENSG00000101266	1457	115440	NM_001895	P68400	uc002wdx.2	473591	543821	-1	GO:0005654	GO:0016301	GO:0006914	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Nucleoplasm	Liver cancer:4.11e-6 (unfavourable)	Expressed in all	Expressed in all	NA	testis: 129.5
CST1	cystatin SN	protein	ENSG00000170373	1469	123855	NM_001898	P01037	uc061vvz.1	23747553	23751268	-1	GO:0005615	GO:0030234	GO:0008150	Plasma proteins, Predicted secreted proteins	NA	Breast cancer:4.00e-4 (favourable)	Mixed	Tissue enriched	salivary gland: 9590.6	gallbladder: 352.0
CST2	cystatin SA	protein	ENSG00000170369	1470	123856	NM_001322	P09228	uc002wtq.2	23823769	23826731	-1	GO:0005615	GO:0030234	GO:0008150	Predicted secreted proteins	NA	NA	Mixed	Tissue enriched	salivary gland: 2052.3	gallbladder: 7.3
CST3	cystatin C	protein	ENSG00000101439	1471	604312	NM_000099	P01034	uc002wtm.5	23626706	23638473	-1	GO:0005764	GO:0030234	GO:0008219	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Golgi apparatus<br>Vesicles	Endometrial cancer:1.83e-4 (favourable), Urothelial cancer:8.77e-4 (favourable)	Expressed in all	Expressed in all	NA	cerebral cortex: 1265.8
CST4	cystatin S	protein	ENSG00000101441	1472	123857	NM_001899	P01036	uc002wto.2	23685640	23689040	-1	GO:0005615	GO:0030234	GO:0042592	Predicted secreted proteins	NA	Ovarian cancer:4.98e-5 (unfavourable), Urothelial cancer:2.88e-4 (favourable)	Mixed	Tissue enriched	salivary gland: 9926.9	gallbladder: 87.6
CST5	cystatin D	protein	ENSG00000170367	1473	123858	NM_001900	P28325	uc002wtr.2	23875935	23879750	-1	GO:0005615	GO:0030234	GO:0008150	Plasma proteins, Predicted secreted proteins	NA	NA	Tissue enriched	Tissue enriched	salivary gland: 756.2	lung,smooth muscle: 2.0
CST7	cystatin F	protein	ENSG00000077984	8530	603253	NM_003650	O76096	uc002wtx.2	24949230	24959928	1	GO:0005615	GO:0030234	GO:0002376	Plasma proteins, Predicted secreted proteins	NA	Renal cancer:4.37e-6 (unfavourable), Endometrial cancer:9.17e-6 (favourable), Head and neck cancer:5.85e-5 (favourable), Breast cancer:6.55e-4 (favourable), Cervical cancer:7.90e-4 (favourable)	Expressed in all	Tissue enriched	bone marrow: 642.9	spleen: 74.1
CST8	cystatin 8	protein	ENSG00000125815	10047	608683	NM_001281730	O60676	uc002wth.3	23491101	23496018	1	GO:0005615	GO:0030234	GO:0008150	Predicted secreted proteins	NA	NA	Not detected	Tissue enriched	testis: 20.7	all non-specific tissues: 0.0
CST9	cystatin 9	protein	ENSG00000173335	128822	616543	NM_001008693	Q5W186	uc002wtl.4	23602410	23605876	-1	GO:0005615	GO:0030234	GO:0002376	Predicted secreted proteins	NA	NA	Tissue enriched	Tissue enriched	breast: 2.1	kidney: 0.1
CST9L	cystatin 9 like	protein	ENSG00000101435	128821	616536	NM_080610	Q9H4G1	uc002wtk.5	23564732	23568749	-1	GO:0005615	GO:0030234	GO:0008150	Predicted secreted proteins	NA	NA	Tissue enhanced	Tissue enriched	testis: 108.4	epididymis: 19.6
CST11	cystatin 11	protein	ENSG00000125831	140880	609731	NM_080830	Q9H112	uc002wtf.2	23450403	23452857	-1	GO:0005929	GO:0030234	GO:0006950	Predicted secreted proteins	NA	NA	Not detected	Tissue enriched	epididymis: 266.6	testis: 0.8
CSTF1	cleavage stimulation factor subunit 1	protein	ENSG00000101138	1477	600369	NM_001033521	Q05048	uc002xxm.2	56392371	56406369	1	GO:0005654	GO:0003723	GO:0006397	Predicted intracellular proteins	Nucleoplasm	NA	Expressed in all	Expressed in all	NA	testis: 31.3
CSTL1	cystatin like 1	protein	ENSG00000125823	128817	NA	NM_138283	Q9H114	uc002wte.3	23439685	23444930	1	GO:0005615	GO:0030234	GO:0008150	Predicted intracellular proteins, Predicted secreted proteins	NA	NA	Not detected	Tissue enriched	testis: 4.6	placenta,seminal vesicle,skin,small intestine,stomach: 0.1
CTCFL	CCCTC-binding factor like	protein	ENSG00000124092	140690	607022	NM_001269040	Q8NI51	uc010gjd.2	57495966	57525652	-1	GO:0005737	GO:0042393	GO:0007049	Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	NA	NA	Tissue enhanced	Tissue enriched	testis: 20.6	bone marrow: 1.0
CTNNBL1	catenin beta like 1	protein	ENSG00000132792	56259	611537	NM_001281495	Q8WYA6	uc061wwh.1	37693955	37872129	1	GO:0005654	GO:0019899	GO:0006397	Cancer-related genes, Predicted intracellular proteins	Nucleoplasm	NA	Expressed in all	Expressed in all	NA	testis: 75.3
CTSA	cathepsin A	protein	ENSG00000064601	5476	613111	NM_000308	P10619	uc002xqh.4	45890144	45898820	1	GO:0005764	GO:0016798	GO:0006629	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Vesicles	Liver cancer:1.95e-4 (unfavourable)	Expressed in all	Expressed in all	NA	adrenal gland: 243.4
CTSZ	cathepsin Z	protein	ENSG00000101160	1522	603169	NM_001336	Q9UBR2	uc002yai.3	58995185	59007247	-1	GO:0005764	GO:0008233	GO:0051604	Enzymes, Plasma proteins, Predicted secreted proteins	Vesicles	Renal cancer:5.72e-5 (unfavourable)	Expressed in all	Expressed in all	NA	lung: 476.8
CYP24A1	cytochrome P450 family 24 subfamily A member 1	protein	ENSG00000019186	1591	126065	NM_000782	Q07973	uc002xwv.3	54153449	54173973	-1	GO:0005739	GO:0016491	GO:0006629	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Nucleoplasm<br>Plasma membrane<br>Mitochondria	NA	Mixed	Tissue enhanced	endometrium: 24.8;urinary bladder: 50.8	placenta: 14.1
DBNDD2	dysbindin domain containing 2	protein	ENSG00000244274	55861	611453	NM_001048221	Q9BQY9	uc002xnz.4	45406057	45410610	1	GO:0005575	GO:0003674	GO:0008150	Predicted intracellular proteins	Nucleoplasm<br>Cytosol	NA	Mixed	Expressed in all	NA	cerebral cortex: 460.2
DDRGK1	DDRGK domain containing 1	protein	ENSG00000198171	65992	616177	NM_023935	Q96HY6	uc002wic.4	3190350	3204685	-1	GO:0005730	GO:0008134	GO:0006950	Predicted intracellular proteins	Nucleoli<br>Endoplasmic reticulum	Renal cancer:2.01e-5 (favourable)	Expressed in all	Expressed in all	NA	adrenal gland: 72.4
DDX27	DEAD-box helicase 27	protein	ENSG00000124228	55661	616621	NM_017895	Q96GQ7	uc002xuh.4	49219295	49244077	1	GO:0005694	GO:0004386	GO:0034641	Enzymes, Predicted intracellular proteins	Nucleoli	Liver cancer:6.70e-7 (unfavourable), Endometrial cancer:1.44e-5 (unfavourable), Renal cancer:1.73e-4 (unfavourable)	Expressed in all	Expressed in all	NA	testis: 46.2
DEFB115	defensin beta 115	protein	ENSG00000215547	245929	NA	NM_001037730	Q30KQ5	uc002wvp.1	31257664	31259632	1	GO:0005576	NA	GO:0002376	Predicted secreted proteins	NA	NA	Not detected	Tissue enriched	epididymis: 1.3	all non-specific tissues: 0.0
DEFB116	defensin beta 116	protein	ENSG00000215545	245930	NA	NM_001037731	Q30KQ4	uc010ztm.2	31303212	31308585	-1	GO:0005576	NA	GO:0002376	Predicted secreted proteins	NA	NA	Not detected	Not detected	NA	epididymis: 0.6
DEFB118	defensin beta 118	protein	ENSG00000131068	117285	607650	NM_054112	Q96PH6	uc002wvr.4	31368618	31373923	1	GO:0005576	NA	GO:0007155	Predicted secreted proteins	NA	NA	Not detected	Tissue enriched	epididymis: 1229.5	all non-specific tissues: 0.0
DEFB119	defensin beta 119	protein	ENSG00000180483	245932	615997	NM_001271209	Q8N690	uc002wvt.5	31377164	31390603	-1	GO:0005576	NA	GO:0002376	Predicted secreted proteins	NA	NA	Tissue enriched	Group enriched	epididymis: 2335.6;testis: 472.8	duodenum: 0.4
DEFB121	defensin beta 121	protein	ENSG00000204548	245934	616075	NM_001011878	Q5J5C9	uc002wvv.3	31404845	31412838	-1	GO:0005576	GO:0003674	GO:0002376	Predicted secreted proteins	NA	NA	Not detected	Tissue enriched	epididymis: 2005.4	testis: 0.3
DEFB123	defensin beta 123	protein	ENSG00000180424	245936	616076	NM_153324	Q8N688	uc002wvy.4	31440519	31450257	1	GO:0005576	NA	GO:0002376	Predicted secreted proteins	NA	NA	Tissue enriched	Group enriched	epididymis: 108.1;testis: 178.0	small intestine: 0.3
DEFB124	defensin beta 124	protein	ENSG00000180383	245937	NA	NM_001037500	Q8NES8	uc002wvz.1	31465506	31476757	-1	GO:0005576	NA	GO:0002376	Predicted secreted proteins	NA	NA	Tissue enhanced	Tissue enhanced	fallopian tube: 8.9;testis: 5.7	endometrium: 5.4
DEFB125	defensin beta 125	protein	ENSG00000178591	245938	NA	NM_153325	Q8N687	uc002wcw.4	87250	97094	1	GO:0005576	NA	GO:0002376	Predicted secreted proteins	NA	NA	Not detected	Group enriched	epididymis: 1.3;seminal vesicle: 1.5	testis: 0.1
DEFB126	defensin beta 126	protein	ENSG00000125788	81623	NA	NM_030931	Q9BYW3	uc002wcx.5	142369	145751	1	GO:0005576	NA	GO:0002376	Disease related genes, Predicted secreted proteins	NA	NA	Tissue enhanced	Tissue enriched	epididymis: 663.6	seminal vesicle: 2.8
DEFB127	defensin beta 127	protein	ENSG00000088782	140850	NA	NM_139074	Q9H1M4	uc002wcy.2	157470	159163	1	GO:0005576	GO:0003674	GO:0002376	Predicted secreted proteins	NA	NA	Not detected	Tissue enriched	epididymis: 1399.7	seminal vesicle: 1.3
DEFB128	defensin beta 128	protein	ENSG00000185982	245939	NA	NM_001037732	Q7Z7B8	uc002wcz.2	187853	189681	-1	GO:0005576	NA	GO:0002376	Predicted secreted proteins	NA	NA	Not detected	Tissue enriched	epididymis: 1713.4	all non-specific tissues: 0.0
DEFB129	defensin beta 129	protein	ENSG00000125903	140881	NA	NM_080831	Q9H1M3	uc002wda.3	227258	229886	1	GO:0005576	NA	GO:0002376	Predicted secreted proteins	NA	NA	Not detected	Tissue enriched	epididymis: 2368.3	seminal vesicle: 4.7
DEFB132	defensin beta 132	protein	ENSG00000186458	400830	NA	NM_207469	Q7Z7B7	uc002wdb.4	257736	261096	1	GO:0005615	NA	GO:0002376	Predicted secreted proteins	NA	NA	Tissue enhanced	Tissue enriched	epididymis: 332.3	seminal vesicle: 29.0
DHX35	DEAH-box helicase 35	protein	ENSG00000101452	60625	NA	NM_001190809	Q9H5Z1	uc002xjh.4	38962299	39039723	1	GO:0005737	GO:0004386	GO:0006397	Enzymes, Plasma proteins, Predicted intracellular proteins	Nucleus<br>Nuclear bodies<br>Centrosome	Liver cancer:5.63e-6 (unfavourable), Endometrial cancer:4.25e-5 (unfavourable)	Expressed in all	Mixed	NA	endometrium: 14.9
DIDO1	death inducer-obliterator 1	protein	ENSG00000101191	11083	604140	NM_001193369	Q9BTC0	uc002ydt.3	62877738	62937952	-1	GO:0005737	GO:0003723	GO:0009058	Plasma proteins, Predicted intracellular proteins	Nucleoplasm<br>Vesicles<br>Cytosol	Pancreatic cancer:3.88e-4 (favourable), Head and neck cancer:5.13e-4 (favourable)	Expressed in all	Expressed in all	NA	fallopian tube: 48.2
DLGAP4	DLG associated protein 4	protein	ENSG00000080845	22839	616191	NM_001042486	Q9Y2H0	uc002xff.4	36306336	36528637	1	GO:0005886	GO:0003674	GO:0008150	Predicted intracellular proteins	Nucleoplasm<br>Focal adhesion sites<br>Cytosol	Liver cancer:3.73e-6 (unfavourable), Endometrial cancer:2.24e-5 (unfavourable), Melanoma:9.88e-5 (favourable), Renal cancer:2.48e-4 (unfavourable)	Expressed in all	Expressed in all	NA	smooth muscle: 61.6
DNAJC5	DnaJ heat shock protein family (Hsp40) member C5	protein	ENSG00000101152	80331	611203	NM_025219	Q9H3Z4	uc002yhf.4	63895182	63936031	1	GO:0031410	GO:0003674	GO:0016192	Disease related genes, Predicted membrane proteins	Golgi apparatus	Renal cancer:7.70e-6 (favourable), Liver cancer:8.82e-6 (unfavourable)	Expressed in all	Expressed in all	NA	cerebral cortex: 73.6
DNMT3B	DNA methyltransferase 3 beta	protein	ENSG00000088305	1789	602900	NM_001207055	Q9UBC3	uc002wyc.3	32762385	32809356	1	GO:0005654	GO:0008168	GO:0006259	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors	Nucleoplasm<br>Vesicles	Renal cancer:1.87e-7 (unfavourable), Endometrial cancer:5.04e-4 (unfavourable)	Tissue enriched	Tissue enhanced	testis: 9.2	skin: 4.5
DNTTIP1	deoxynucleotidyltransferase terminal interacting protein 1	protein	ENSG00000101457	116092	611388	NM_052951	Q9H147	uc002xpk.3	45791937	45811427	1	GO:0005730	GO:0003677	GO:0009058	Plasma proteins, Predicted intracellular proteins	Nucleus	Renal cancer:1.90e-6 (unfavourable), Liver cancer:1.79e-5 (unfavourable)	Expressed in all	Expressed in all	NA	testis: 44.6
DOK5	docking protein 5	protein	ENSG00000101134	55816	608334	NM_001294161	Q9P104	uc002xwy.4	54475597	54651171	1	GO:0005829	GO:0004871	GO:0006464	Predicted intracellular proteins	Focal adhesion sites	Endometrial cancer:8.99e-7 (unfavourable)	Group enriched	Tissue enhanced	cerebral cortex: 22.0;fallopian tube: 20.0	skeletal muscle: 15.7
DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	protein	ENSG00000000419	8813	603503	NM_001317034	O60762	uc002xvw.2	50934867	50958555	-1	GO:0005783	GO:0016757	GO:0006629	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	NA	Liver cancer:1.94e-6 (unfavourable)	Expressed in all	Expressed in all	NA	thyroid gland: 80.5
DSN1	DSN1 homolog, MIS12 kinetochore complex component	protein	ENSG00000149636	79980	609175	NM_001145315	Q9H410	uc002xga.4	36751791	36773818	-1	GO:0005730	GO:0003674	GO:0007059	Plasma proteins, Predicted intracellular proteins	Nucleus<br>Nucleoli fibrillar center<br>Nuclear bodies<br>Cytosol	Renal cancer:1.54e-5 (unfavourable), Liver cancer:4.16e-5 (unfavourable), Cervical cancer:4.49e-4 (favourable)	Expressed in all	Mixed	NA	testis: 40.2
DSTN	destrin, actin depolymerizing factor	protein	ENSG00000125868	11034	609114	NM_001011546	P60981	uc002wpr.4	17569863	17609919	1	GO:0005856	GO:0008092	GO:0008150	Plasma proteins, Predicted intracellular proteins	NA	NA	Expressed in all	Expressed in all	NA	seminal vesicle: 1055.1
DTD1	D-tyrosyl-tRNA deacylase 1	protein	ENSG00000125821	92675	610996	NM_001318043	Q8TEA8	uc002wrf.5	18567453	18763917	1	GO:0005730	GO:0003723	GO:0006399	Predicted intracellular proteins	Nucleoli<br>Cytosol	NA	Expressed in all	Expressed in all	NA	cerebral cortex: 55.8
DUSP15	dual specificity phosphatase 15	protein	ENSG00000149599	128853	616776	NM_001012644	Q9H1R2	uc002wwx.2	31847637	31870747	-1	GO:0005886	GO:0016791	GO:0006464	Enzymes, Predicted intracellular proteins	Plasma membrane<br>Cytosol	Renal cancer:5.40e-7 (favourable)	Mixed	Tissue enhanced	testis: 77.1	parathyroid gland: 16.1
DYNLRB1	dynein light chain roadblock-type 1	protein	ENSG00000125971	83658	607167	NM_001281727	Q9NP97	uc002xal.5	34516409	34540958	1	GO:0005929	GO:0003674	GO:0030705	Plasma proteins, Predicted intracellular proteins	NA	Liver cancer:6.44e-4 (unfavourable)	Expressed in all	Expressed in all	NA	cerebral cortex: 341.0
DZANK1	double zinc ribbon and ankyrin repeat domains 1	protein	ENSG00000089091	55184	NA	NM_001099407	Q9NVP4	uc002wqq.5	18383367	18467281	-1	NA	GO:0043167	NA	Predicted intracellular proteins	Nucleoli fibrillar center	NA	Mixed	Mixed	NA	fallopian tube: 5.2
E2F1	E2F transcription factor 1	protein	ENSG00000101412	1869	189971	NM_005225	Q01094	uc002wzu.5	33675683	33686404	-1	GO:0005815	GO:0008134	GO:0007005	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Nucleoplasm<br>Centrosome	Cervical cancer:9.22e-6 (favourable), Liver cancer:3.83e-5 (unfavourable), Endometrial cancer:4.33e-5 (unfavourable), Renal cancer:8.99e-5 (unfavourable), Thyroid cancer:1.62e-4 (favourable), Pancreatic cancer:4.18e-4 (unfavourable)	Expressed in all	Tissue enhanced	bone marrow: 22.9	testis: 12.7
EBF4	early B cell factor 4	protein	ENSG00000088881	57593	609935	NM_001110514	Q9BQW3	uc002wgt.5	2692878	2760108	1	GO:0005634	GO:0003700	GO:0048856	Predicted intracellular proteins, Transcription factors	NA	Pancreatic cancer:2.47e-5 (favourable), Colorectal cancer:6.59e-4 (unfavourable)	Expressed in all	Mixed	NA	parathyroid gland: 23.7
EDEM2	ER degradation enhancing alpha-mannosidase like protein 2	protein	ENSG00000088298	55741	610302	NM_001145025	Q9BV94	uc002xbo.3	35115357	35147364	-1	GO:0005783	GO:0016798	GO:0009056	Predicted secreted proteins	NA	Renal cancer:4.76e-6 (unfavourable)	Expressed in all	Expressed in all	NA	epididymis: 54.7
EDN3	endothelin 3	protein	ENSG00000124205	1908	131242	NM_001302455	P14138	uc002yaq.4	59300427	59325992	1	GO:0005622	GO:0003674	GO:0003013	Disease related genes, Predicted secreted proteins	NA	Glioma:2.38e-4 (favourable)	Mixed	Tissue enhanced	small intestine: 39.3	duodenum: 38.3
EEF1A2	eukaryotic translation elongation factor 1 alpha 2	protein	ENSG00000101210	1917	602959	NM_001958	Q05639	uc002yfe.3	63488013	63499315	-1	GO:0005737	GO:0008135	GO:0009058	Disease related genes, Plasma proteins, Predicted intracellular proteins	Nucleoli<br>Cytosol	Endometrial cancer:2.90e-5 (unfavourable), Head and neck cancer:9.11e-4 (unfavourable)	Expressed in all	Group enriched	cerebral cortex: 409.3;heart muscle: 425.6;skeletal muscle: 1372.7	adrenal gland: 127.7
EFCAB8	EF-hand calcium binding domain 8	protein	ENSG00000215529	388795	NA	XM_011529121	A8MWE9	uc061wfj.1	32858923	32961609	1	NA	GO:0043167	NA	Predicted intracellular proteins	NA	NA	Not detected	Tissue enriched	testis: 2.8	appendix,small intestine,thyroid gland: 0.4
EIF2S2	eukaryotic translation initiation factor 2 subunit beta	protein	ENSG00000125977	8894	603908	NM_001316363	P20042	uc002xaf.4	34088298	34112332	-1	GO:0005737	GO:0008135	GO:0009790	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Nucleoli<br>Endoplasmic reticulum	Renal cancer:9.64e-10 (unfavourable), Liver cancer:3.23e-5 (unfavourable), Endometrial cancer:8.74e-4 (unfavourable)	Expressed in all	Expressed in all	NA	placenta: 74.3
EIF6	eukaryotic translation initiation factor 6	protein	ENSG00000242372	3692	602912	NM_001267810	P56537	uc002xbx.3	35278907	35284985	-1	GO:0005730	GO:0008135	GO:0022618	Plasma proteins, Predicted intracellular proteins	Nucleoplasm	Liver cancer:7.25e-5 (unfavourable)	Expressed in all	Expressed in all	NA	esophagus: 173.2
ELMO2	engulfment and cell motility 2	protein	ENSG00000062598	63916	606421	NM_001318253	Q96JJ3	uc002xru.2	46366049	46432985	-1	GO:0005829	GO:0019899	GO:0007010	Disease related genes, Predicted intracellular proteins	Cytosol	Liver cancer:4.08e-5 (unfavourable), Pancreatic cancer:6.10e-4 (favourable), Endometrial cancer:6.54e-4 (unfavourable)	Expressed in all	Expressed in all	NA	cerebral cortex: 58.2
EMILIN3	elastin microfibril interfacer 3	protein	ENSG00000183798	90187	608929	NM_052846	Q9NT22	uc002xjy.2	41359966	41366827	-1	GO:0005578	NA	NA	Predicted secreted proteins	NA	NA	Tissue enhanced	Tissue enhanced	epididymis: 65.0	seminal vesicle: 14.0
ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)	protein	ENSG00000197586	955	603160	NM_001114089	O75354	uc002wuj.3	25195693	25226729	1	GO:0005794	GO:0003674	GO:0034655	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Golgi apparatus	NA	Expressed in all	Expressed in all	NA	cerebral cortex: 105.7
EPB41L1	erythrocyte membrane protein band 4.1 like 1	protein	ENSG00000088367	2036	602879	NM_001258329	Q9H4G0	uc002xfb.4	36091504	36232799	1	GO:0005856	GO:0005198	GO:0007010	Disease related genes, Predicted intracellular proteins	Plasma membrane	Renal cancer:4.39e-10 (favourable), Endometrial cancer:6.46e-5 (unfavourable), Pancreatic cancer:9.30e-4 (unfavourable)	Expressed in all	Mixed	NA	adrenal gland: 162.4
EPPIN	epididymal peptidase inhibitor	protein	ENSG00000101448	57119	609031	NM_001302861	O95925	uc002xou.4	45540626	45547752	-1	GO:0005615	GO:0030234	GO:0065003	Predicted intracellular proteins, Predicted secreted proteins	NA	NA	Not detected	Group enriched	epididymis: 414.2;testis: 128.4	fallopian tube: 2.3
ERGIC3	ERGIC and golgi 3	protein	ENSG00000125991	51614	616971	NM_015966	Q9Y282	uc002xcs.4	35542021	35557634	1	GO:0005794	NA	GO:0016192	Predicted intracellular proteins, Predicted membrane proteins	Nucleoplasm	Liver cancer:2.20e-7 (unfavourable), Renal cancer:9.81e-5 (unfavourable)	Expressed in all	Expressed in all	NA	epididymis: 530.3
ESF1	ESF1 nucleolar pre-rRNA processing protein homolog	protein	ENSG00000089048	51575	NA	NM_001276380	Q9H501	uc002woj.3	13714322	13784886	-1	GO:0005730	GO:0003723	GO:0009058	Predicted intracellular proteins	Nucleus<br>Nucleoli	Liver cancer:7.81e-9 (unfavourable)	Expressed in all	Expressed in all	NA	testis: 25.9
EYA2	EYA transcriptional coactivator and phosphatase 2	protein	ENSG00000064655	2139	601654	NM_005244	O00167	uc002xsm.3	46894624	47188844	1	GO:0005739	GO:0016791	GO:0007005	Enzymes, Plasma proteins, Predicted intracellular proteins	Cytosol	Endometrial cancer:4.30e-5 (favourable)	Tissue enhanced	Tissue enhanced	cervix, uterine: 76.3	fallopian tube: 50.0
